,timestamp_x,ACCEL_X,ACCEL_Y,ACCEL_Z,timestamp_y,GYRO_X,GYRO_Y,GYRO_Z
46,2016-03-15 21:27:17.72,-0.721,-0.159,0.743,2016-03-15 21:27:18.51,1.402,-0.183,0.244
47,2016-03-15 21:27:17.72,-0.71,-0.152,0.725,2016-03-15 21:27:18.51,1.707,-0.122,0.549
48,2016-03-15 21:27:17.72,-0.708,-0.147,0.737,2016-03-15 21:27:18.51,1.524,-0.427,0.671
49,2016-03-15 21:27:17.72,-0.712,-0.15,0.741,2016-03-15 21:27:18.51,2.439,-0.671,0.854
50,2016-03-15 21:27:17.72,-0.701,-0.148,0.732,2016-03-15 21:27:18.51,3.963,-3.537,1.22
51,2016-03-15 21:27:17.72,-0.691,-0.148,0.745,2016-03-15 21:27:18.51,4.085,-7.134,1.341
52,2016-03-15 21:27:17.72,-0.698,-0.152,0.749,2016-03-15 21:27:18.51,2.805,-5.305,0.915
53,2016-03-15 21:27:17.72,-0.694,-0.152,0.746,2016-03-15 21:27:18.51,2.5,-8.78,1.159
54,2016-03-15 21:27:17.72,-0.691,-0.149,0.746,2016-03-15 21:27:18.51,1.402,-11.341,0.671
55,2016-03-15 21:27:17.72,-0.691,-0.149,0.75,2016-03-15 21:27:18.51,-1.402,-6.159,0.244
56,2016-03-15 21:27:17.72,-0.694,-0.15,0.752,2016-03-15 21:27:18.51,-1.585,-1.707,0.183
57,2016-03-15 21:27:17.72,-0.688,-0.149,0.754,2016-03-15 21:27:18.51,0.061,-1.707,0.671
58,2016-03-15 21:27:17.72,-0.686,-0.147,0.752,2016-03-15 21:27:18.51,0.488,-3.171,0.549
59,2016-03-15 21:27:17.72,-0.687,-0.15,0.753,2016-03-15 21:27:18.51,-0.061,-2.195,0.122
60,2016-03-15 21:27:17.72,-0.686,-0.149,0.753,2016-03-15 21:27:18.51,0.0,-2.317,0.0
61,2016-03-15 21:27:17.72,-0.688,-0.147,0.756,2016-03-15 21:27:18.51,0.915,-2.5,-0.061
62,2016-03-15 21:27:17.72,-0.686,-0.149,0.756,2016-03-15 21:27:18.51,0.793,-1.402,0.244
63,2016-03-15 21:27:17.72,-0.686,-0.147,0.76,2016-03-15 21:27:18.51,0.671,-1.037,0.427
64,2016-03-15 21:27:17.72,-0.683,-0.148,0.753,2016-03-15 21:27:18.51,0.671,-1.159,0.366
65,2016-03-15 21:27:17.72,-0.68,-0.146,0.76,2016-03-15 21:27:18.51,0.366,-1.402,0.244
66,2016-03-15 21:27:17.72,-0.689,-0.148,0.762,2016-03-15 21:27:18.51,0.427,-1.22,0.122
67,2016-03-15 21:27:17.72,-0.669,-0.145,0.75,2016-03-15 21:27:18.51,0.366,-0.854,0.122
68,2016-03-15 21:27:17.72,-0.673,-0.146,0.771,2016-03-15 21:27:18.51,0.61,-1.707,0.183
69,2016-03-15 21:27:17.72,-0.684,-0.152,0.769,2016-03-15 21:27:18.51,0.488,-1.22,0.244
70,2016-03-15 21:27:17.72,-0.675,-0.146,0.756,2016-03-15 21:27:18.51,0.915,-2.866,0.427
71,2016-03-15 21:27:17.72,-0.668,-0.147,0.766,2016-03-15 21:27:18.51,1.341,-6.585,0.061
72,2016-03-15 21:27:17.72,-0.671,-0.146,0.767,2016-03-15 21:27:18.51,-0.915,-0.427,0.0
73,2016-03-15 21:27:17.72,-0.674,-0.147,0.761,2016-03-15 21:27:18.51,-1.22,-0.122,0.549
74,2016-03-15 21:27:17.72,-0.675,-0.145,0.758,2016-03-15 21:27:18.51,0.366,-1.585,0.854
75,2016-03-15 21:27:17.72,-0.676,-0.146,0.759,2016-03-15 21:27:18.51,0.244,-0.732,0.61
76,2016-03-15 21:27:17.72,-0.678,-0.148,0.759,2016-03-15 21:27:18.51,0.244,-0.793,0.305
77,2016-03-15 21:27:17.72,-0.679,-0.146,0.763,2016-03-15 21:27:18.51,0.61,0.488,0.366
78,2016-03-15 21:27:17.72,-0.68,-0.147,0.761,2016-03-15 21:27:18.51,0.244,2.622,0.366
79,2016-03-15 21:27:17.73,-0.683,-0.146,0.761,2016-03-15 21:27:18.51,-0.244,3.659,0.366
80,2016-03-15 21:27:17.73,-0.683,-0.147,0.756,2016-03-15 21:27:18.51,0.0,2.866,0.488
81,2016-03-15 21:27:17.73,-0.684,-0.145,0.761,2016-03-15 21:27:18.51,-0.244,2.134,0.549
82,2016-03-15 21:27:17.73,-0.687,-0.146,0.758,2016-03-15 21:27:18.51,-0.305,1.768,0.488
83,2016-03-15 21:27:17.73,-0.676,-0.146,0.747,2016-03-15 21:27:18.51,-0.244,1.89,0.488
84,2016-03-15 21:27:17.73,-0.688,-0.147,0.759,2016-03-15 21:27:18.51,0.061,1.341,0.549
85,2016-03-15 21:27:17.73,-0.683,-0.146,0.751,2016-03-15 21:27:18.51,0.183,0.915,0.488
86,2016-03-15 21:27:17.73,-0.683,-0.149,0.755,2016-03-15 21:27:18.51,0.366,-1.463,0.793
87,2016-03-15 21:27:17.73,-0.688,-0.145,0.754,2016-03-15 21:27:18.51,0.61,-2.561,0.244
88,2016-03-15 21:27:17.73,-0.692,-0.145,0.752,2016-03-15 21:27:18.51,-1.037,2.195,0.793
